Symptom,Disease
발한,"갈색세포종(Pheochromocytoma), 갑상선중독증(Thyrotoxicosis), 결핵성 복막염(Tuberculous peritonitis), 결핵성 임파선염(Tuberculous lymphadenitis), 골형성부전증(Osteogenesis imperfecta), 공황 장애(Panic disorder), 구루병(Rickets), 급성 심근경색증(Acute myocardial infarction), 뇌하수체 기능 항진(Hyperfunction of pituitary gland), 로하드 증후군(ROHHAD Syndrome), 만성골수백혈병(Chronic myeloid leukemia), 방선균증(Actinomycosis), 부신 종양(Adrenal tumor), 분만 후 출혈(Postpartum hemorrhage), 비호지킨 림프종(Non-Hodgkin lymphoma), 성선기능저하증(Hypogonadism), 수두(Varicella (chickenpox)), 수정대혈관 전위(Corrected TGA), 식도 정맥류(Esophageal varices), 신경모세포종(Neuroblastoma), 신경절 신경종(Ganglioneuroma), 신체형 장애(Somatic symptom disorder), 위 정맥류(Gastric varices), 위장관 결핵(Gastrointestinal tuberculosis), 저혈당증(Hypoglycemia), 전정신경염(Vestibular neuronitis), 조기 폐경(Premature ovarian failure), 췌장 전이암(Pancreatic metastasis), 콜린성 두드러기(Cholinergic urticaria), 크론병(Crohn's disease), 타카야수 혈관염(Takayasu’s Arteritis), 폐 혈전색전증(Pulmonary thromboembolism), 폐경(Menopause), 폐경기 및 여성의 갱년기 상태(Menopausal and female climacteric states), 현훈(Vertigo), 호지킨 림프종(Hodgkin lymphoma), 호흡성 산증(Respiratory Acidosis)"
고혈압,"갈색세포종(Pheochromocytoma), 금단 현상(Withdrawal Phenomenon), 급성 간질성 신염(Acute tubulo-interstitial nephritis), 뇌하수체 기능 항진(Hyperfunction of pituitary gland), 대동맥 협착증(Coarctation of aorta), 만성 신부전(Chronic renal failure), 면역글로불린 A 신병증(IgA nephropathy), 본히펠린다우 증후군 (Von Hippel-Lindau syndrome), 부신 종양(Adrenal tumor), 부신암(Adrenal gland cancer), 비만(Obesity), 신경절 신경종(Ganglioneuroma), 신동맥 협착증(Renal artery stenosis), 용혈성 요독 증후군(Hemolytic Uremic Syndrome), 윌름즈 종양(Wilms Tumor), 임신성 고혈압(Pregnancy-induced hypertension), 자간증(Eclampsia), 자발성 두개강 내 출혈(Spontaneous intracranial hemorrhage), 전이성 신장암(Kidney, cancer, metastatic), 쿠싱 증후군(Cushing's syndrome), 터너 증후군 (Turner syndrome)"
이명,"감각신경성 난청(Sensorineural hearing loss), 고막염(Myringitis), 급성 중이염(Acute otitis media), 난청(hearing loss), 만성 중이염(Chronic otitis media), 메니에르병(Meniere's disease), 삼출성 중이염(Otitis media with effusion), 신경초종(Schwannoma), 외상에 의한 고막 천공(Traumatic rupture of ear drum [Traumatic tympanic membrane perforation]), 전정신경염(Vestibular neuronitis), 척추 뇌저 동맥 증후군(Vertebro-basilar artery syndrome), 청신경초종(Vestibular schwannoma)"
귀두가 울혈됨,"감돈포경(Paraphimosis), 고관절 이형성증(DDH (developmental dysplasia of the hip))"
생식기 통증,"감돈포경(Paraphimosis), 고환 종양(Tumors of testis), 만성 전립선염(Chronic prostatitis), 부고환염(Epididymitis), 산욕열(Puerperal fever), 음경암(Penis Cancer), 자궁경부염(Cervicitis), 정계정맥류(Varicocele), 칸디다성 외음질염(Candidal vulvovaginitis), 회음 괴저(Fournier's gangrene)"
배뇨곤란,"감돈포경(Paraphimosis), 귀두포피염(Balanoposthitis), 급성 방광염(Acute cystitis), 급성 신우신염(Acute pyelonephritis), 급성 질염(Acute vaginitis), 만성 전립선염(Chronic prostatitis), 방광의 신경근육 기능 장애(Neuromuscular dysfunction of bladder), 방광탈(Cystocele), 부고환염(Epididymitis), 비임균성 요도염(Nongonococcal urethritis), 스티븐 존슨 증후군(Stevens Johnson syndrome), 양성 전립선 비대증(Benign prostatic hyperplasia), 요로 감염(Urinary tract infection), 융모막암종(Choriocarcinoma), 자궁 탈출증(Uterine Prolapse), 자궁내막증(Endometriosis), 척추 골수염(Vertebral osteomyelitis), 혈정액증(Hematospermia)"
피부염증,"감염성 근육염(Infective myositis), 국소 다한증(Localized hyperhidrosis), 딸기코(Rosacea), 면역결핍증(Immunodeficiency disease), 베체트 병(Behcet's disease), 슈도모나스 감염(Pseudomonas infection), 스파르가눔증(Sparganosis), 한센병(Leprosy), 헤르페스 바이러스 감염(Herpesviral infection)"
삼키기 곤란 ,"감염성 단핵구증(Infectious mononucleosis), 갑상선 결절(Thyroid nodule), 갑상선 미분화암(Undifferentiated thyroid cancer), 갑상선 수질암(Medullary thyroid cancer), 갑상선 여포암(Follicular thyroid cancer), 갑상선암(Thyroid cancer), 구강암(Oral Cancer), 근위축성 측색 경화증(Amyotrophic lateral sclerosis), 근육긴장이상증(Dystonia), 근육병(Myopathy), 길랑-바레 증후군(Guillain-Barre Syndrome), 낭포성 히그로마(Cystic hygroma), 뇌졸중(Cerebrovascular disease), 모세혈관 확장성 운동실조 증후군 (Ataxia-telangiectasia syndrome), 바렛 식도(Barrett's esophagus), 보툴리눔독소증(Botulism), 부신백질이영양증(Adrenoleukodystrophy), 상대정맥 증후군(Superior vena cava Syndrome), 새열 낭종(Branchial Cyst), 소화관의 이물(Foreign body in alimentary tract), 식도암(Esophageal cancer), 식도염(Esophagitis), 식도의 이물(Foreign body in esophagus), 식도의 평활근종(Leiomyoma of esophagus), 식도이완불능증(Esophageal Achalasia), 신경초종(Schwannoma), 아데노이드의 비대를 동반한 편도의 비대(Hypertrophy of tonsils with hypertrophy of adenoids), 아밀로이드증(Amyloidosis), 양성 종격동 종양(Benign mediastinal tumor), 운동신경 질환(Motor neuron disease), 위식도 역류성 질환(Gastro-esophagus reflux disease), 윌슨병(Willson disease), 인후두염(Laryngopharyngitis), 종격동염(Mediastinitis), 중증 근무력증(Myasthenia gravis), 진행성 위암(Advanced gastric cancer), 차지 증후군(CHARGE Syndrome), 척수구근 근위축증 (Spinobulbar muscular atrophy), 척수소뇌성 운동실조증 (Spinocerebellar ataxia, SCA), 척추 뇌저 동맥 증후군(Vertebro-basilar artery syndrome), 파상풍(Tetanus), 편도선염(Tonsillitis), 편도암(Tonsillar cancer), 피부근육염(Dermatopolymyositis), 후두암(Larynx  cancer), 후비루(Postnasal drip), 흉선암(Thymus Cancer)"
목의 통증,"감염성 단핵구증(Infectious mononucleosis), 갑상선염(Thyroiditis), 갑상설관 낭종(Thyroglossal duct cyst), 거북목 증후군(Turtle neck syndrome), 결핵성 임파선염(Tuberculous lymphadenitis), 경추 추간판 탈출증(Cervical HIVD), 구강암(Oral Cancer), 디프테리아(Diphtheritia), 레지오넬라증(Legionella), 부비동염(Sinusitis), 상기도 감염(Upper respiratory infections), 새열 낭종(Branchial Cyst), 섬유근육통(Fibromyalgia), 신경근병증(Radiculopathy), 신종 플루(Novel swine-origin influenza A(H1N1)), 인플루엔자(Influenza), 인후두염(Laryngopharyngitis), 조류 인플루엔자(AI) 인체감염증(Avian Influenza Human Infection), 척추 종양(Spine Bone Tumor), 코로나-19(COVID-19), 큐열(Q Fever), 타액선암(Malignant neoplasm of salivary glands), 편도결석(tonsillolith), 편도선염(Tonsillitis), 편도암(Tonsillar cancer), 후두암(Larynx  cancer), 후비루(Postnasal drip), 후종인대 골화증(Ossification of posterior longitudinal ligament), 흉부 대동맥류(Thoracic aortic Aneurysm)"
안면홍조,"감염성 홍반(Erythema infectiosum), 골수증식종양(Myeloproliferative neoplasm), 성선기능저하증(Hypogonadism), 소장암(Small bowel cancer), 신경모세포종(Neuroblastoma), 신생아 다혈구증(Polycythemia), 조기 폐경(Premature ovarian failure), 카르시노이드 증후군(Carcinoid syndrome), 폐경(Menopause), 폐경기 및 여성의 갱년기 상태(Menopausal and female climacteric states)"
갑상선이 단단해짐,"갑상선 결절(Thyroid nodule), 갑상선암(Thyroid cancer), 갑상선염(Thyroiditis)"
갑상선 비대,"갑상선 결절(Thyroid nodule), 갑상선염(Thyroiditis), 갑상선중독증(Thyrotoxicosis)"
목의 이물감,"갑상선 미분화암(Undifferentiated thyroid cancer), 갑상선 수질암(Medullary thyroid cancer), 갑상선 여포암(Follicular thyroid cancer), 갑상설관 낭종(Thyroglossal duct cyst), 바렛 식도(Barrett's esophagus), 불안 장애(Anxiety disorder), 비중격 만곡(Nasal septal deviation), 소화관의 이물(Foreign body in alimentary tract), 식도의 이물(Foreign body in esophagus), 인후두염(Laryngopharyngitis), 편도암(Tonsillar cancer), 후두암(Larynx  cancer), 후비루(Postnasal drip)"
목소리 변화,"갑상선 미분화암(Undifferentiated thyroid cancer), 갑상선 수질암(Medullary thyroid cancer), 갑상선 여포암(Follicular thyroid cancer), 갑상선 유두암(Papillary Carcinoma of Thyroid ), 갑상선기능저하증(Hypothyroidism), 골형성부전증(Osteogenesis imperfecta), 구강암(Oral Cancer), 부갑상선암(Parathyroid Cancer), 성대와 후두 용종(Polyps of vocal cord and larynx), 식도암(Esophageal cancer), 심낭 삼출 (Pericardial effusion), 악성 중피종(Malignant mesothelioma), 양성 종격동 종양(Benign mediastinal tumor), 위식도 역류성 질환(Gastro-esophagus reflux disease), 인후두염(Laryngopharyngitis), 타액선암(Malignant neoplasm of salivary glands), 폐암(Lung cancer), 후두개염(Epiglottitis), 후두암(Larynx  cancer)"
목 주변 부종,"갑상선 유두암(Papillary Carcinoma of Thyroid ), 갑상설관 낭종(Thyroglossal duct cyst), 결핵성 임파선염(Tuberculous lymphadenitis), 루드비히 안자이나 (Ludwig's angina), 비인두 종양(Nasopharyngeal tumor), 유행성 이하선염(Mumps), 침샘염(Sialoadenitis), 타액선암(Malignant neoplasm of salivary glands), 혈관부종(Angioedema), 흉부 대동맥류(Thoracic aortic Aneurysm)"
피부 건조,"갑상선기능저하증(Hypothyroidism), 갑상선기능항진증(Hyperthyroidism), 당뇨병성 족부 질환(DM foot ulcer), 새집 증후군(Sick building syndrome), 쇼그렌 증후군(Sicca syndrome (Sjogren)), 아토피성 피부염(Atopic dermatitis), 어린선(Ichthyosis), 열사병(Heat stroke), 요붕증(Diabetes insipidus), 접촉 피부염(Contact dermatitis), 태열(), 피부염(Dermatitis)"
창백,"갑상선기능저하증(Hypothyroidism), 거대적혈모구빈혈(Megaloblastic anemia), 과숙아, 만기 후 출산아(Post-term infant), 구루병(Rickets), 구획 증후군(Compartment syndrome), 급성 심근경색증(Acute myocardial infarction), 급성골수성백혈병(Acute myeloid leukemia), 다발골수종(Multiple myeloma), 동상(Frostbite), 메켈 게실(Meckel's diverticulum), 발육부전성 좌심 증후군(Hypoplastic left heart syndrome), 발작성야간혈색뇨(Paroxysmal nocturnal hemoglobinuria), 범혈구감소증(Pancytopenia), 복강 내 출혈(Intraperitoneal Bleeding), 사이트린 결핍(Citrin deficiency), 소적혈구빈혈(Microcytic anemia), 순수적혈구무형성(Pure red cell aplasia), 용혈빈혈(Hemolytic anemia), 위장관 출혈(Gastrointestinal hemorrhage), 자가면역용혈질환(Autoimmune hemolytic disease), 자궁 외 임신(Ectopic pregnancy), 재생불량빈혈(Aplastic anemia), 저혈당증(Hypoglycemia), 지중해빈혈(Thalassemia), 철결핍빈혈(Iron deficiency anemia), 포르피린증(Porphyria), 횡격막 탈장(Diaphragmatic hernia)"
체중증가,"갑상선기능저하증(Hypothyroidism), 로하드 증후군(ROHHAD Syndrome), 복수(Ascites), 신경성 폭식증(Bulimia nervosa), 자가면역 질환(autoimmune diseasse), 자가면역성 갑상선염(Autoimmune thyroiditis)"
월경과다,"갑상선기능저하증(Hypothyroidism), 여성 불임(Female infertility), 자궁내막 용종(Polyp of endometrium), 자궁내막 이상증식증(Endometrial hyperplasia), 자궁내막암(Endometrial cancer), 자궁선근증(Adenomyosis), 자궁의 평활근종(Leiomyoma of uterus), 폰빌레브란트병(Von Willebrand disease)"
추위를 못견딤,"갑상선기능저하증(Hypothyroidism), 뇌하수체 기능부전(Hypopituitarism)"
신경과민,"갑상선기능항진증(Hyperthyroidism), 갑상선중독증(Thyrotoxicosis), 병적 도벽(Pathological stealing), 순수적혈구무형성(Pure red cell aplasia), 신생아 괴사성 장염(Necrotizing enterocolitis of fetus and newborn)"
부정맥,"갑상선기능항진증(Hyperthyroidism), 고마그네슘혈증(Hypermagnesemia), 고칼륨혈증(Hyperkalemia), 과호흡 증후군(Hyperventilation syndrome), 대사성 산증(Metabolic Acidosis), 대사성 알칼리증(Metabolic Alkalosis), 샤가스병(Chagas disease), 설인신경통(Glossopharyngeal neuralgia), 심근염(Myocarditis), 심낭 압전(Cardiac tamponade), 심장 종양(Cardiac tumor), 아밀로이드증(Amyloidosis), 악성 고열증(Malignant hyperthermia), 오래된 심근경색증(Old myocardial infarction), 익수(Submersion), 저칼륨혈증(Hypokalemia), 전폐정맥연결 이상(Total anomalous pulmonary venous connection), 호흡성 알칼리증(Respiratory Alkalosis)"
무월경,"갑상선기능항진증(Hyperthyroidism), 고환 여성화 증후군(Testicular feminization syndrome), 과립막 세포종(Granulosa cell tumor), 넬슨 증후군(Nelson's syndrome), 뇌하수체 기능 항진(Hyperfunction of pituitary gland), 다낭성 난소 증후군(Polycystic ovary syndrome), 모호한 생식기(Ambiguous genitalia), 무월경(Amenorrhea), 섭식 장애(Eating disorder), 성선기능저하증(Hypogonadism), 신경성 식욕부진증(Anorexia nervosa), 안드로겐 불감성 증후군 (Androgen insensitivity syndrome(AIS)), 윌슨병(Willson disease), 자궁 발육부전(Hypoplasia uteri), 자궁내막암(Endometrial cancer)"
안구돌출,"갑상선기능항진증(Hyperthyroidism), 갑상선중독증(Thyrotoxicosis), 두개 유합증(Craniosynostosis), 스터지 웨버 증후군(Sturge Weber Syndrome), 크루존 증후군(Crouzon syndrome), 파이퍼 증후군 (Pfeiffer syndrome)"
성대마비,갑상선암(Thyroid cancer)
결절,"갑상선암(Thyroid cancer), 결절성 경화증 (Tuberous sclerosis), 급성 류마티스성 열(Acute Rheumatic fever), 기저세포 암종(Basal cell carcinoma), 사마귀(Wart), 여드름(Acne), 음경암(Penis Cancer), 인유두종 바이러스 감염증(Human papiloma virus infection), 편평 태선(Lichen Planus), 피부섬유육종(Dermatofibrosarcoma ), 피부암(Skin cancer), 한선염(Hidradenitis suppurativa), 한센병(Leprosy)"
식욕증가,"갑상선중독증(Thyrotoxicosis), 로하드 증후군(ROHHAD Syndrome), 자가면역 질환(autoimmune diseasse), 프라더 윌리 증후군 (Prader-Willi syndrome)"
생리불순,"갑상선중독증(Thyrotoxicosis), 난소, 난관 이상(Disorders of ovary, fallopian tube), 뇌하수체 양성 및 악성 신생물(Malignant or benign neoplasm of Pituitary gland), 부신암(Adrenal gland cancer), 성선기능저하증(Hypogonadism), 셀리악병(Celiac disease), 신체형 장애(Somatic symptom disorder), 여성 불임(Female infertility), 자궁내막 이상증식증(Endometrial hyperplasia)"
손떨림,"갑상선중독증(Thyrotoxicosis), 공황 장애(Panic disorder), 금단 현상(Withdrawal Phenomenon), 뇌전증(Epilepsy), 다발성 경화증(Multiple sclerosis), 떨림, 진전(Tremor), 산후 갑상선염(Postpartum thyroiditis), 섬망(Delirium), 신체형 장애(Somatic symptom disorder), 저혈당증(Hypoglycemia), 척수구근 근위축증 (Spinobulbar muscular atrophy), 파킨슨병(Parkinson's disease)"
불안,"갑상선중독증(Thyrotoxicosis), 강박 장애(Obsessive-Compulsive Disorder), 과호흡 증후군(Hyperventilation syndrome), 광장공포증(Agoraphobia), 금단 현상(Withdrawal Phenomenon), 급성 심근경색증(Acute myocardial infarction), 기억상실증(amnesia), 독성 쇼크 증후군(Toxic shock syndrome), 반응성 애착장애(Reactive Attachment Disorder), 베르니케 코시코프 증후군(Wernicke-korsakoff syndrome), 부갑상선기능저하증(Hypoparathyroidism), 분리 불안 장애(Separation Anxiety Disorder), 불면증(Insomnia), 사회공포증(Sociophobia), 산후 우울증(Postpartum depression), 악성 흉막 삼출(Malignant pleural effusion), 안면 홍조증(Hot flush), 알코올 의존성(Dependance of alcohol), 외상 후 스트레스 장애(Post-traumatic stress disorder), 월경전 증후군(Premenstrual syndrome), 저혈당증(Hypoglycemia), 폐 혈전색전증(Pulmonary thromboembolism), 폐경(Menopause), 폐경기 및 여성의 갱년기 상태(Menopausal and female climacteric states), 폐소공포증(Claustrophobia), 호흡성 산증(Respiratory Acidosis)"
더위를 못 견딤,갑상선중독증(Thyrotoxicosis)
의심,"강박 장애(Obsessive-Compulsive Disorder), 경계성 인격장애(Borderline personality disorder), 편집성 인격장애(Paranoid personality disorder)"
반복적인 동작,강박 장애(Obsessive-Compulsive Disorder)
말초 통증,"강직성 척추염(Ankylosing spondylitis), 골수증식종양(Myeloproliferative neoplasm), 당뇨병성 말초신경병증(Diabetic polyneuropathy), 동맥색전증 및 혈전증(Arterial embolism and thrombosis), 레이노병(Raynaud'S Phenomenon), 죽상경화증(Atherosclerosis), 파브리병(Fabry disease), 폐색성 혈전 혈관염 (Thromboangiitis obliterans), 한랭글로불린혈증(Cryoglobulinemia)"
골반 통증,"강직성 척추염(Ankylosing spondylitis), 고환의 염전(Torsion of testis), 골반 염증성 질환(Pelvic inflammatory disease), 급성 방광염(Acute cystitis), 난관수종(Hydrosalpinx), 난소 낭종(Ovarian cysts), 난소암(Ovarian cancer), 난소의 양성 종양(Benign ovary tumor), 대퇴골두 무혈관성 괴사(AVN of hip(femoral head)), 만성 전립선염(Chronic prostatitis), 방광암(Bladder cancer), 변형성 고관절증(Coxarthrosis), 서혜부 탈장(Inguinal hernia), 습관성 유산(Habitual miscarriage), 요근 농양(Psoas abscess), 일과성 고관절 활액막염(Transient synovitis of hip), 자궁 상피 내 암종(Carcinoma in situ of Cervix), 자궁경관무력증(Incompetent internal os of cervix), 자궁경부암(Cervical cancer), 자궁경부염(Cervicitis), 자궁내막암(Endometrial cancer), 자궁내막증(Endometriosis), 자궁선근증(Adenomyosis), 자궁의 평활근종(Leiomyoma of uterus), 잠복고환증(Cryptorchidism), 좌골신경통(Sciatica), 질암(Vaginal Cancer), 천추골 골절(sacral fracture), 태반 조기 박리(Abruptio placenta)"
엉덩이 통증,강직성 척추염(Ankylosing spondylitis)
관절의 경직,"강직성 척추염(Ankylosing spondylitis), 골관절염(Osteoarthritis), 내상과염(Golf Elbow), 류마티스 관절염(Rheumatoid arthritis), 반월판 연골손상(Tear of meniscus), 베이커 낭종(Baker's cyst), 소아 류마티스 관절염(Juvenile rheumatoid arthritis), 퇴행성 척추 장애(Degenerative spinal disorder)"
요통,"강직성 척추염(Ankylosing spondylitis), 급성 간질성 신염(Acute tubulo-interstitial nephritis), 급성 신우신염(Acute pyelonephritis), 난소암(Ovarian cancer), 난소의 양성 종양(Benign ovary tumor), 노인성 척추후만증(Senile Kyphosis), 대동맥 박리(Aortic dissection), 복부 대동맥류(Abdominal aortic Aneurysm), 복압성 요실금(Stress urinary incontinence), 섬유근육통(Fibromyalgia), 소장암(Small bowel cancer), 신경근병증(Radiculopathy), 신우요관암(Renal pelvis cancer), 요근 농양(Psoas abscess), 요족(Cavus foot), 요추 전방전위증(Lumbar spondylolisthesis), 요추 추간판 탈출증(Herniation of intervertebral disk), 요추관 협착증(Lumbar spinal stenosis), 원발성 월경곤란(Primary dysmenorrhea), 월경전 증후군(Premenstrual syndrome), 자궁 상피 내 암종(Carcinoma in situ of Cervix), 자궁경부암(Cervical cancer), 자궁내막증(Endometriosis), 자궁의 평활근종(Leiomyoma of uterus), 좌골신경통(Sciatica), 척수 종양(Spinal Cord tumor), 척수공동증(Syringomyelia), 척추 골수염(Vertebral osteomyelitis), 척추 종양(Spine Bone Tumor), 척추병증(Spondylopathies), 췌장염(Pancreatitis), 퇴행성 척추 장애(Degenerative spinal disorder), 폐경(Menopause), 횡단성 척수염(Transverse myelitis), 흉부 대동맥류(Thoracic aortic Aneurysm)"
객혈,"객혈(Hemoptysis), 결핵(Tuberculosis), 기관지확장증(Bronchiectasis), 낭종성 폐질환(Cystic Lung Disease), 노카르디아증(Nocardiosis), 만성 기관지염(Chronic bronchitis), 만성 폐질환(Chronic lung disease), 메리오이드증(Melioidosis), 비소세포성 폐암(Non-small cell lung cancer), 소세포성 폐암(Small cell lung cancer), 속립성 결핵(Miliary tuberculosis), 아스페르길루스증(Aspergillosis), 톡소플라즈마증(Toxoplasmosis), 폐 전이(Lung Metastasis), 폐 혈전색전증(Pulmonary thromboembolism), 폐결핵(Pulmonary tuberculosis), 폐렴간균에 의한 폐렴 (Klebsiella pneumoniae infection), 폐부종(Pulmonary edema), 폐암(Lung cancer), 후두암(Larynx  cancer), 흑사병(Yersinia Pestis)"
거품이 섞인 가래,객혈(Hemoptysis)
난청,"거대세포 바이러스 질환(Cytomegaloviral diseases), 대뇌성 거인증 (Sotos syndrome), 미로염(Labyrinthitis), 비인두 종양(Nasopharyngeal tumor), 삼출성 중이염(Otitis media with effusion), 알포트 증후군(Alports syndrome), 차지 증후군(CHARGE Syndrome), 트리처 콜린스 증후군 (Treacher-Collins syndrome)"
궤양,"거대세포 바이러스 질환(Cytomegaloviral diseases), 레이노병(Raynaud'S Phenomenon), 안검염(Blepharitis), 유방 파제트병 (Pagets disease of the Breast)"
태아 저체중,"거대세포 바이러스 질환(Cytomegaloviral diseases), 단일 제대 동맥(Single Umbilical Artery), 쌍태아 수혈 증후군(Twin to twin Transfusion Syndrome), 자궁 내 성장 지연(Intrauterine growth retardation)"
운동 시 호흡곤란,"거대적혈모구빈혈(Megaloblastic anemia), 규폐증(Silicosis), 난원공 개존증(Patent Foramen Ovale), 대동맥 협착(Aortic stenosis), 대동맥 협착증(Coarctation of aorta), 만성 기관지염(Chronic bronchitis), 만성 폐쇄성 폐질환(Chronic obstructive pulmonary disease), 미만성 간질성 폐질환(Diffuse Interstitial lung disease), 선천성 심장 질환(Congenital heart disease), 순수적혈구무형성(Pure red cell aplasia), 승모판 협착(Mitral (valve) stenosis), 신동맥 협착증(Renal artery stenosis), 심근병증(Cardiomyopathy), 심방 중격 결손(Atrial septal defect), 양대혈관 우심실 기시증(Double outlet right ventricle), 용혈빈혈(Hemolytic anemia), 위 정맥류(Gastric varices), 재생불량빈혈(Aplastic anemia), 전폐정맥연결 이상(Total anomalous pulmonary venous connection), 지중해빈혈(Thalassemia), 진폐증(Pneumoconiosis), 특발성 폐섬유화증(Idiopathic pulmonary fibrosis), 팔로 사 징후(Tetralogy of Fallot with/without PA)"
의식 변화,"거대적혈모구빈혈(Megaloblastic anemia), 고산병(Mountain sickness), 고칼슘혈증(Hypercalcemia), 과호흡 증후군(Hyperventilation syndrome), 뇌경색(Cerebral infarction), 뇌동맥류(Cerebral aneurysm), 뇌출혈(Cerebral hemorrhage), 단순 포진성 뇌염(Herpes simplex encephalitis), 베르니케 코시코프 증후군(Wernicke-korsakoff syndrome), 심장신경성 실신(Neurocardiogenic syncope), 열사병(Heat stroke), 외상에 의한 뇌 손상(Traumatic brain injury), 원발성 중추신경계 림프종(Primary CNS lymphoma), 이물질에 의한 기도 막힘(Airway obstruction), 익수(Submersion), 일본 뇌염(Japanese encephalitis), 자발성 두개강 내 출혈(Spontaneous intracranial hemorrhage), 저나트륨혈증(Hyponatremia), 저마그네슘혈증(Hypomagnesemia), 척수병증(Myelopathy), 호흡성 산증(Respiratory Acidosis), 화상(Burn)"
기억장애,"거대적혈모구빈혈(Megaloblastic anemia), 경미한 인지장애(Mild cognitive impairment), 광우병(Bovine spongiform encephalopathy), 기억상실증(amnesia), 노쇠(Frailty), 만성 피로 증후군(Chronic Fatigue Syndrome), 베르니케 코시코프 증후군(Wernicke-korsakoff syndrome), 비중격 만곡(Nasal septal deviation), 쇼그렌 증후군(Sicca syndrome (Sjogren)), 수두증(Hydrocephalus), 아밀로이드증(Amyloidosis), 악성 신경교종(Malignant Glioma), 알츠하이머병(Alzheimer's disease), 외상성 치매 (Traumatic dementia), 외상에 의한 뇌 손상(Traumatic brain injury), 자가면역 질환(autoimmune diseasse), 잠금 증후군(Locked-in Syndrome), 점액수종 혼수(Myxoedema coma), 진주종(Cholesteatoma), 치매(Dementia), 해리 장애(Dissociative disorder)"
지남력 장애,"거스트만 증후군(Gerstmann Syndrome), 대사성 알칼리증(Metabolic Alkalosis), 베르니케 코시코프 증후군(Wernicke-korsakoff syndrome), 사이트린 결핍(Citrin deficiency), 치매(Dementia), 호흡성 산증(Respiratory Acidosis)"
학습장애,"거스트만 증후군(Gerstmann Syndrome), 모야모야병(Moyamoya disease), 발달 장애(developmental disability), 스핑고 지질증(Other sphingolipidosis), 윌리암스 증후군 (Williams syndrome)"
손가락 운동장애,"건 손상(Tendon injury), 듀피트렌 구축(Dupuytren's contracture), 방아쇠 수지(Trigger finger), 원위 요골과 척골 골절(Fracture of distal radius and ulna), 척수소뇌성 운동실조증 (Spinocerebellar ataxia, SCA)"
발 굴곡 운동의 제한,건 손상(Tendon injury)
발끝으로 설 수 없음,"건 손상(Tendon injury), 아킬레스 건 파열(Acute achilles tendon rupture)"
질병에 대한 공포,건강염려증(Hypochondriasis)
비현실감,"건강염려증(Hypochondriasis), 해리 장애(Dissociative disorder)"
병원 쇼핑,건강염려증(Hypochondriasis)
고름,"건선(Psoriasis), 결핵성 임파선염(Tuberculous lymphadenitis), 귀두포피염(Balanoposthitis), 급성 중이염(Acute otitis media), 농가진(Impetigo), 눈물흘림증(Epiphora), 만성 치주염(Chronic periodontitis), 모낭염(Folliculitis), 안검염(Blepharitis), 여드름(Acne), 임파선염(Lymphadenitis), 조갑주위염(Paronychia), 치조골염(Alveolar ostitis), 치주 농양(Periodontal abscess), 피부 농양(Cutaneous abscess), 한선염(Hidradenitis suppurativa), 항문 누공(Anal fistula), 항문 주위 농양(Perianal abscess), 항문암(Anal cancer)"
인설,"건선(Psoriasis), 어루러기(Pityriasis versicolor), 지루성 피부염(Seborrheric dermatitis), 천포창(Pemphigus), 탈락 피부염(Exfoliative dermatitis)"
근위축,"건초염(Tenosynovitis), 근육병(Myopathy), 베커형 근이영양증(Becker muscular dystrophy), 부신암(Adrenal gland cancer)"
위장관 출혈,"게실 질환(Diverticular disease), 말로리-바이스 증후군(Mallory-weiss Syndrome), 면역혈소판감소증(Immune thrombocytopenia), 반티 증후군(Banti syndrome), 소장암(Small bowel cancer), 식도의 평활근종(Leiomyoma of esophagus), 십이지장 궤양(Duodenal ulcer), 아밀로이드증(Amyloidosis), 알코올성 간질환(Alcoholic liver disease), 위 유암종(Gastric Carcinoid Tumor), 위궤양(Gastric ulcer), 위말트 림프종 (Gastric MALT lymphoma), 위용종(Gastric polyp), 자가면역성 간염(Autoimmune hepatitis), 장간막 정맥 혈전증(Mesenteric Venous Thrombosis), 진행성 위암(Advanced gastric cancer), 혈관염(Vasculitis)"
배변습관의 변화,"게실 질환(Diverticular disease), 대장암(Colon cancer), 대장염(Colitis), 방광소장 누공(Vesicointestinal fistula), 자궁내막증(Endometriosis), 직장암(Rectal cancer), 항문암(Anal cancer)"
변비,"게실 질환(Diverticular disease), 고칼슘혈증(Hypercalcemia), 궤양성 대장염(Ulcerative colitis), 기능성 위장 장애(Functional Gastrointestinal Disorder), 납 중독(Lead Poisoning), 로하드 증후군(ROHHAD Syndrome), 맹장염(Appendicitis), 부갑상선기능항진증(Hyperparathyroidism), 부갑상선암(Parathyroid Cancer), 생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma), 선천성 갑상선기능저하증(Congenital hypothyroidism), 선천성 거대결장증(Hirschsprung disease), 섬유근육통(Fibromyalgia), 아밀로이드증(Amyloidosis), 위장관 결핵(Gastrointestinal tuberculosis), 위장관 기질 종양(Stomach GIST), 자가면역성 갑상선염(Autoimmune thyroiditis), 자궁 상피 내 암종(Carcinoma in situ of Cervix), 자궁경부암(Cervical cancer), 자극성 장 증후군(Irritable bowel syndrome), 장염전(Volvulus), 장유착(Intestine adhesions), 장티푸스(typhoid fever), 장폐색(Intestinal obstruction), 직장암(Rectal cancer)"
