Title,Symptoms,Related Diseases,Departments,Synonyms
식도의 이물(Foreign body in esophagus),"기침, 목의 이물감, 침 분비 증가, 구토, 삼키기 곤란 , 식욕부진","이물질에 의한 기도 막힘, 소화관의 이물","소화기내과, 응급의학과","식도의 이물질,식도이물,식도이물질"
식도의 평활근종(Leiomyoma of esophagus),"위장관 출혈, 구토, 토혈, 삼키기 곤란 , 소화불량",식도암,소화기내과,"식도민무늬근종,식도평활근종"
식도이완불능증(Esophageal Achalasia),"잦은 딸꾹질, 체중감소, 가슴 통증, 삼키기 곤란 , 트림","식도의 평활근종, 식도 정맥류, 바렛 식도, 식도의 이물, 흡인성 폐렴, 폐렴, 위식도 역류성 질환, 식도암, 식도염",소화기내과,"분문연축,식도 무연동증,식도의 근육협동장애,식도의 무연동증"
식중독(Foodborne illness),"구토, 설사, 열, 두드러기, 복부 통증","급성 위장염, 해외여행 시 주의사항","가정의학과, 소화기내과",Food poisoning
신경근병증(Radiculopathy),"근력 약화, 목의 통증, 감각 이상, 방사통, 요통","요추관 협착증, 경추 추간판 탈출증","신경과, 정형외과",신경뿌리병증
신경모세포종(Neuroblastoma),"얼굴부종, 하지부종, 발한, 빈맥, 축 늘어짐, 호흡곤란, 안면홍조, 체중감소, 보챔, 복부팽만감","유잉육종, 림프종, 터너 증후군 , 횡문근육종, 부신 종양, 비호지킨 림프종","방사선종양학과, 소아청소년종양혈액과, 소아외과",신경모세포종
신경섬유종(Neurofibromatosis),"갈색 피부 반점, 척추 측만, 시력 감소","모세혈관 확장성 운동실조 증후군 , 피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환, 로우 증후군, 레트 증후군 , 결절성 경화증 ","성형외과, 정형외과, 피부과, 의학유전학센터, 소아내분비대사과, 의학유전학과, 소아신경외과","neurofibroma,신경섬유종양,신경섬유종증"
신경성 식욕부진증(Anorexia nervosa),"이상행동, 체중감소, 무월경, 저혈압","신경성 폭식증, 섭식 장애, 철결핍빈혈, 골다공증, 불안 장애, 우울증","정신건강의학과, 소아정신건강의학과","거식증,신경성 식욕부진"
신경성 폭식증(Bulimia nervosa),"폭식, 구토, 복부 통증, 체중증가","기분부전증, 알코올 의존성, 불안 장애, 신경성 식욕부진증, 행동 및 충동 장애, 섭식 장애",정신건강의학과,"addephagia,신경성 과식증,신경성 식욕대식증,충동성폭식증,폭식증"
신경인성 방광(Neurogenic Bladder),,"과민성 방광, 방광의 신경근육 기능 장애, 저활동성 방광",비뇨의학과,
신경절 신경종(Ganglioneuroma),"흉부압박감, 무증상, 설사, 발한, 고혈압, 근력 약화, 호흡곤란","신경섬유종, 신경종, 신경모세포종",신경외과,
신경종(Neuroma),"환부 부종, 환부 통증, 저림","청신경초종, 지간 신경종","신경과, 신경외과",신경종양
신경초종(Schwannoma),"안면마비, 청력장애, 운동장애, 괄약근 기능 이상, 삼키기 곤란 , 하지 마비, 이명","뇌종양, 양성 뇌종양, 척수병증, 청신경초종, 삼차 신경병증, 신경섬유종, 뇌신경 인플레 , 신경절 신경종","종양내과, 방사선종양학과, 신경외과, 이비인후과","쉬반종,시반종"
신동맥 협착증(Renal artery stenosis),"운동 시 호흡곤란, 오심, 고혈압, 피로감, 빈혈, 식욕부진, 경련, 신부전, 소변량 감소","타카야수 혈관염, 만성 신부전, 급성 신부전, 신부전, 고혈압",신장내과,신동맥 협착
신부전(Renal failure),"전신 부종, 피부 긴장도 저하, 얼굴부종, 신부전","울혈성 심부전, 급성 신부전, 말기 신질환, 렙토스피라증, 당뇨병, 만성 신부전, 사구체신염, 고혈압","신장내과, 신ㆍ췌장이식외과","kidney failure,신부전증"
신생아 가사(Neonatal asphyxia),"무호흡, 다발성 장기부전 증상","뇌성 마비, 신생아 호흡곤란증후군","신생아과, 어린이병원, 소아재활의학과","Asphyxia of newborn,Neonatal hypoxia,신생아저산소증,신생아질식"
신생아 경련(Convulsions of newborn),"눈꺼풀의 떨림, 불규칙호흡, 근육긴장, 무호흡",뇌전증,"어린이병원, 소아신경과","Neonatal seizures,신생아 경련발작,경기"
신생아 괴사성 장염(Necrotizing enterocolitis of fetus and newborn),"무호흡, 서맥, 기민상태, 설사, 구토, 저체온, 복부팽만감, 신경과민, 혈변","신생아 답즙정체증, 신생아 호흡곤란증후군","산부인과, 신생아과, 소아외과","Neonatal Necrotizing Enterocolitis,신생아 괴사성 소장결장염,태아 및 신생아의 괴사성 소장결장염"
신생아 다혈구증(Polycythemia),"저혈당, 안면홍조, 호흡곤란, 무호흡, 심부전, 빈맥, 청색증, 경련, 기민상태, 빈뇨, 혈소판감소 ","저칼슘혈증, 다태아, 갑상선기능항진증, 선천성 부신과다 형성증, 임신성 당뇨병",,"Polycythemia neonatorum,신생아 적혈구증가증"
신생아 답즙정체증(Neonatal Cholestasis),"비장비대, 진한 소변색, 복수, 간비대, 피부소양감, 회색변, 출혈 경향성, 발육부전, 지방변","핵황달, 신생아 황달",소아소화기영양과,"신생아 담즙정체,신생아 쓸개즙정체,담적,담적증"
신생아 호흡곤란증후군(Neonatal respiratory distress syndrome),"호흡곤란, 청색증, 함몰가슴",신생아 가사,"신생아과, 어린이병원, 소아재활의학과","RDS,신생아진행성호흡부전,신생아호흡부전,신생아호흡장애증후군,유리질막증,초자막 질환"
신생아 황달(Neonatal jaundice),"놀람반사의 약화, 황달","간염, 핵황달","신생아과, 어린이병원",Neonatal hyperbilirubinemia
신세포암종(Renal cell carcinoma),"혈뇨, 옆구리 통증","신우요관암, 신장의 신생물, 신우요관암의 전이, 전이성 신장암, 방광암, 낭성 신장 질환, 신우요관 폐색","종양내과, 방사선종양학과, 비뇨의학과","renal cancer,신세포암,신장암"
신우요관 폐색(UPJ obstruction),"구토, 혈뇨, 요로감염, 옆구리 통증",수신증,"비뇨의학과, 소아비뇨의학과",신우요관폐색증
신우요관암(Renal pelvis cancer),"옆구리 통증, 혈뇨, 요통","방광암, 신세포암종, 수신증","가정의학과, 종양내과, 비뇨의학과",신우뇨관암
신장 결석(Renal stone),"오심, 옆구리 통증, 구토, 혈뇨","요로결석, 요로 감염, 혈뇨, 요관 결석","비뇨의학과, 소아비뇨의학과","신결석증,신장결석증,신결석"
신장 이형성증(Renal dysplasia),"납작한 코, 축 쳐진 귀, 신장 발육부전",양수과소증,"어린이병원, 소아비뇨의학과","신장이형성,이형성신장"
신장의 신생물(Neoplasm of the kidney),복부팽만감,"전이성 신장암, 신세포암종, 낭성 신장 질환","신장내과, 비뇨의학과",신장종양
신종 플루(Novel swine-origin influenza A(H1N1)),"두통, 목의 통증, 구토, 설사, 근육통, 오한",폐렴,"감염내과, 호흡기내과","H1N1,돼지독감,돼지인플루엔자,신종인플루엔자,신종인플루엔자A"
신증후군(Nephrotic syndrome),"거품있는 소변, 가래, 기침, 호흡곤란, 전신 부종, 단백뇨, 복부팽만감, 눈 주변 부종, 하지부종","신세포암종, 전신 홍반성 낭창, 림프종, 당뇨병, 만성 B형 간염, 신부전, 사구체신염, 급성 신부전, 만성 신부전, 고콜레스테롤혈증, 자간전증, 알포트 증후군, 급성 B형 간염, 미세변화 신증후군","신장내과, 소아신장과",신증
신증후성 출혈열(Hemorrhagic fever with renal syndrome),"단백뇨, 저혈압, 다뇨, 열, 복부 통증, 두통, 요독증, 식욕부진",신부전,"감염내과, 신장내과","신증후군 출혈열,신증후출혈열,유행성 출혈열"
신체 내 지방 불균형(Body fat imbalance),,신체 내 지방 불균형,성형외과,"미용 목적의 체형교정술,지방 흡입,체형교정술"
신체형 장애(Somatic symptom disorder),"온몸이 떨림, 발한, 생리불순, 손떨림, 가슴 답답, 가슴 두근거림, 얼굴이 화끈거림, 구강건조, 근육통, 권태감, 구토, 가슴 쓰림, 복부팽만감, 두통, 어지러움, 저림, 오심","건강염려증, 기분부전증, 우울증","노년내과, 정신건강의학과","신체화 장애,somatoform disorder"
실어증(Aphasia),언어장애,"외상에 의한 뇌 손상, 뇌졸중, 치매, 뇌종양",정신건강의학과,"말못함증,부전실어,부전실어증,언어상실증"
심계항진(Palpitations),"호흡곤란, 가슴 두근거림, 어지러움, 가슴 통증","우울증, 고혈압, 심방 세동, 부정맥, 심장 판막 질환, 갑상선기능항진증, 발작성 상심실성 빈맥, 심실 빈맥","심장내과, 심장병원","가슴 두근거림,두근거림"
심근병증(Cardiomyopathy),"말초부종, 피부 긴장도 저하, 운동 시 호흡곤란, 가슴 두근거림, 복수","부정맥, 고혈압, 울혈성 심부전","심장내과, 심장혈관흉부외과","비후성심근증,심근증,제한성 심근증,확장성심근증"
심근염(Myocarditis),"근육통, 구토, 감기 증상, 피로감, 울혈성 심부전, 부정맥, 설사, 가슴 통증, 열","울혈성 심부전, 패혈증, 부정맥, 급성 류마티스성 열, 가와사키병","심장내과, 심장병원",심근염증
심낭 삼출 (Pericardial effusion),"호흡곤란, 빈맥, 식욕부진, 목소리 변화, 기침","심내막염, 전신 홍반성 낭창, 류마티스 관절염, 울혈성 심부전","심장내과, 심장병원","심낭삼출,심낭삼출액,심장막 삼출액"
심낭 압전(Cardiac tamponade),"저혈압, 경정맥 확장, 부정맥, 호흡곤란, 심음 감소","심낭염, 심낭 삼출 ","심장내과, 심장병원","심낭압전증,심장 눌림증,심장압전,심장압전증"
심낭염(Pericarditis),"저혈압, 가슴 통증, 두통, 호흡곤란, 피로감, 쇼크, 열","심장 종양, 전신 홍반성 낭창, 신부전, 심낭 압전, 오래된 심근경색증, 류마티스 관절염","심장내과, 심장병원","심낭염증,심막염,심막염증"
심내막염(Endocarditis),"식욕부진, 호흡곤란, 열, 오한, 저혈압, 반점, 두통","류마티스 관절염, 심낭 삼출 , 울혈성 심부전, 복부 대동맥류, 선천성 심장 질환, 흉부 대동맥류, 심장 판막 질환","심장내과, 심장병원","infectiveendocarditis,감염성심내막염,급성감염성심내막염,급성심내막염,심내막염증,심장내막염,심장내막염증,아급성감염성심내막염,아급성심내막염"
심방 세동(Atrial fibrillation),"빈맥, 가슴 답답, 가슴 두근거림, 호흡곤란, 어지러움, 실신, 피로감","심근병증, 부정맥, 심장 판막 질환, 갑상선기능항진증","심장내과, 심장병원",심방 잔떨림
심방 조동(Atrial Flutter),"빈맥, 가슴 두근거림, 가슴 통증, 어지러움, 호흡곤란","선천성 심장 질환, 심방 세동, 심근병증, 부정맥, 심실 세동, 심장 판막 질환, 심실 빈맥, 심낭염","심장내과, 심장병원",
심방 중격 결손(Atrial septal defect),"운동 시 호흡곤란, 심잡음, 잦은 상기도 감염, 피부 긴장도 저하, 심방 부정맥, 청색증","방실 중격 결손, 심실 중격 결손, 폐성 고혈압","심장내과, 소아청소년심장과, 심장혈관흉부외과, 소아심장외과, 선천성심장병센터, 심장병원","ASD,소아 심방중격결손,심방중격결손증"
심부정맥 색전증(Deep vein thrombosis),"환부 부종, 환부 통증, 말초의 허혈, 피부궤양, 청색증","폐 혈전색전증, 하지 정맥류, 동맥색전증 및 혈전증",혈관외과,"Deep vein thrombosis,심부정맥 혈전증,이코노미 클래스 증후군"
심실 빈맥(Ventricular tachycardia),"실신, 가슴 두근거림, 빈맥, 호흡곤란",부정맥,"심장내과, 심장병원","다형 심실빈맥,단형 심실빈맥,비지속성 심실빈맥,심실성빈맥,지속성 심실빈맥"
심실 세동(Ventricular fibrillation),"실신, 빈맥, 가슴 두근거림, 호흡곤란","부정맥, 심낭염, 저체온증, 갑상선중독증, 울혈성 심부전","심장내과, 심장병원",
심실 중격 결손(Ventricular septal defect),"호흡기감염, 수유 곤란, 폐동맥 고혈압, 반복되는 폐렴, 심잡음, 심부전","방실 중격 결손, 심방 중격 결손, 울혈성 심부전, 폐성 고혈압, 풍진, 다운 증후군 ","심장내과, 소아청소년심장과, 심장혈관흉부외과, 소아심장외과, 선천성심장병센터, 심장병원","VSD,근성부 결손,막양부 결손,심실중격결손증,판막 하 결손"
심장 종양(Cardiac tumor),"심부전, 무증상, 부정맥, 돌연사",울혈성 심부전,"심장내과, 심장혈관흉부외과","심장 암종,심장암"
심장 판막 질환(Valvular heart disease),"실신, 가슴 통증, 호흡곤란","대동맥판막 협착, 대동맥판막 기능부전, 승모판 협착, 승모판 기능부전","심장내과, 심장병원, 판막질환센터",심장판막증
심장신경성 실신(Neurocardiogenic syncope),"의식 변화, 자율신경장애, 서맥","대동맥 박리, 부정맥, 저혈압, 대사 증후군, 급성 심근경색증, 우울증",,"미주신경성 실신,혈관미주신경성 실신"
십이지장 궤양(Duodenal ulcer),"토혈, 가슴 통증, 소화불량, 가슴 쓰림, 구토, 위장관 출혈, 장폐색, 빈혈, 복부 통증, 흑색변",위궤양,"소화기내과, 노년내과",소화성궤양
십이지장염(Duodenitis),"열, 복부 통증, 오심, 식욕부진, 복부팽만감, 구토, 가슴 쓰림, 소화불량, 트림","십이지장 궤양, 위염, 위궤양",소화기내과,
십자 인대 손상(Cruciate Ligament Injuries),"무릎 부위 부종, 파열음, 관절 불안정증, 환부 부종, 무릎 부위 통증, 관절잡음","슬관절 장애, 반달연골 이상, 슬개건염, 원판형 반월상연골, 반월판 연골손상",정형외과,"십자인대부상,십자인대파열,전방십자인대손상,후방십자인대손상"
쌍태아 수혈 증후군(Twin to twin Transfusion Syndrome),"심부전, 양수의 감소, 발육부전, 빈혈, 태아 저체중","양수과소증, 양수과다증, 다태아",산부인과,쌍태아간 수혈 증후군
아나필락시스(Anaphylactic shock),"빈맥, 의식 불명, 기침, 호흡곤란, 저혈압, 발진, 저림, 피부소양감, 가슴 통증, 구토",저혈압,"응급의학과, 알레르기내과","Anaphylactic shock,과민성 쇼크,아나필락시스성 쇼크,아나필락틱 쇼크"
아데노이드의 비대를 동반한 편도의 비대(Hypertrophy of tonsils with hypertrophy of adenoids),"수면 무호흡, 호흡곤란, 구강호흡, 만성 부비동염, 코골이, 삼키기 곤란 ","부비동염, 만성 중이염, 편도결석, 편도선염",이비인후과,"구개편도 비대,아데노이드 편도 비대,아데노이드증식증"
아동 학대(Abuse of Child),,"불안 장애, 섭식 장애, 수면 장애, 주의력결핍 과잉행동장애",어린이병원,
아두골반 불균형(Cephalopelvic disproportion),"자궁 수축, 분만 지연, 활력징후 이상, 태아 심박동수 이상","난산, 신생아 가사",산부인과,
아메바성 간농양(Amebic liver abscess),"열, 늑막삼출, 설사, 복부 통증","화농성 간농양, 간농양",소화기내과,아메바성 간 고름집
아메바성 이질(Amebic dysentery),"혈변, 잔변감, 설사, 복부 통증",아메바성 간농양,소화기내과,이질 아메바
아밀로이드증(Amyloidosis),"무감각, 관절통, 심부전, 무증상, 비장비대, 설사, 호흡곤란, 부정맥, 체중감소, 피로감, 위장관 출혈, 간비대, 삼키기 곤란 , 치매, 기억장애, 발진, 신부전, 감각 이상, 출혈 경향성, 변비","부정맥, 치매, 류마티스 관절염, 다발골수종, 혈관성 치매","심장내과, 종양내과, 혈액내과","유녹말증,유전분증"
아스퍼거 증후군(Asperger disorder),"감정 변화, 대인관계 어려움, 감각 과민","주의력결핍 과잉행동장애, 자폐증 / 자폐 스펙트럼 장애, 지적장애, 발달 장애","정신건강의학과, 소아정신건강의학과","아스퍼거 장애,아스페르거 증후군"
아스페르길루스증(Aspergillosis),"호흡곤란, 객혈, 오한, 천명음, 열",폐렴,"감염내과, 호흡기내과, 심장혈관흉부외과, 알레르기내과",아스페르길루스종
아킬레스 건 파열(Acute achilles tendon rupture),"파열음, 발끝으로 설 수 없음, 파열부위 오목해짐, 발의 통증","소건막류, 슬개건염, 건초염, 건 손상, 아킬레스 건염",정형외과,아켈리스 건 파열
아킬레스 건염(Achilles' tendonitis),"열감, 발의 통증, 환부 부종","슬개건염, 건초염, 아킬레스 건 파열, 건 손상",정형외과,아킬레스건 염증
아토피성 피부염(Atopic dermatitis),"태선화, 습진, 물집, 피부 건조, 피부소양감, 발진, 환부의 분비물","천식, 피부염, 음식 알레르기, 약물 알레르기, 알레르기 비염, 접촉 피부염, 피부건조증, 농가진, 기저귀 피부염","피부과, 알레르기내과","Atopic eczema,소아 아토피,아기 아토피,아토피,아토피 습진,아토피피부,아토피피부염"
악성 고열증(Malignant hyperthermia),"부정맥, 열, 대사성 산증, 빈호흡, 근육강직","근육긴장이상증, 근육병",응급의학과,악성고체온증
악성 신경교종(Malignant Glioma),"뇌전증 발작 , 기억장애, 두통","양성 뇌종양, 뇌종양","방사선종양학과, 산부인과, 소아청소년종양혈액과, 신경외과, 소아신경외과","Glioma,뇌교종,신경교종"
악성 종격동 종양(Malignant mediastinal tumor),"열, 가슴 통증, 기침, 무증상","종격동염, 양성 종격동 종양","종양내과, 방사선종양학과, 소아청소년종양혈액과, 심장혈관흉부외과, 암병원","종격동 악성종양,종격동 암"
악성 중피종(Malignant mesothelioma),"기침, 목소리 변화, 호흡곤란, 피로감, 체중감소, 방사통, 가슴 통증","비소세포성 폐암, 소세포성 폐암, 진폐증, 폐암","종양내과, 방사선종양학과",
악성 흉막 삼출(Malignant pleural effusion),"가슴 통증, 기침, 호흡곤란, 불안","폐암, 유방암, 폐 전이, 소세포성 폐암, 림프종, 비소세포성 폐암","종양내과, 호흡기내과",
악성 흑색종(Malignant melanoma),점 안에 다른 색 피부,"상피내 신생물, 기저세포 암종","종양내과, 방사선종양학과, 성형외과, 정형외과, 피부과, 피부암센터, 암병원","멜라노마,악성 멜라노마,악성 흑색점,흑색종,흑색종증"
악액질(Cachexia),"빈혈, 운동장애, 체중감소, 식욕부진, 권태감","항문암, 담관암, 대장암, 담낭암, 간세포암, 췌장암, 식도암, 직장암, 위암, 폐암, 당뇨병, 결핵",종양내과,"소모증후군,종말증후군"
안검내반(Entropion),"눈부심, 눈물흘림, 눈비빔","각막염, 각막 궤양, 결막염",안과,"눈꺼풀 속말림,부안검,안검내번"
안검염(Blepharitis),"고름, 눈의 자극감, 궤양, 눈의 충혈, 안검내반, 눈 주변 부종, 소양감, 이물감","안구 건조증, 안검하수, 맥립종, 결막염",안과,눈꺼풀염증
안검하수(Ptosis of eyelid),"눈꺼풀 처짐증, 이마의 주름, 약시","눈꺼풀 장애, 중증 근무력증, 근육병","성형외과, 안과, 소아안과",눈꺼풀 처짐증
안검황색종(Xanthelasma),눈 주위 노란 반점,비립종,"성형외과, 피부과","Xanthoma palpebrum,눈꺼풀황색판종"
안구 건조증(Dry eye syndrome),"눈의 피로, 소양감, 눈의 자극감, 시야장애, 눈부심, 작열감","당뇨망막병증, 갑상선기능저하증, 류마티스 관절염, 쇼그렌 증후군, 전신 홍반성 낭창, 당뇨병, 출혈성 결막염, 눈꺼풀 장애, 비루관 폐쇄, 알레르기성 결막염, 결막염",안과,"건성안증후군,눈건조,눈건조증,눈마름증후군,안구건조"
안드로겐 불감성 증후군 (Androgen insensitivity syndrome(AIS)),"외부 생식기가 모호함, 무월경, 음낭에 없는 고환,부고환, 남성의 여성형 유방",선천성 갑상선기능저하증,"의학유전학센터, 의학유전학과","Androgen Insensitivity Syndrome,안드로겐 둔감증"
안면 골절(Facial bone fracture),"개 폐구 장애, 부정교합, 치아의 탈락, 감각 이상, 안면부 열상, 발음 이상, 안면부 출혈, 치아 흔들림, 저작장애, 환부 통증",안면 비대칭,"성형외과, 치과","안면골골절,얼굴골절,얼굴뼈골절"
안면 마비(Facial palsy),"미각이상, 발음 이상, 청각과민, 안면마비, 눈물흘림","외상에 의한 뇌 손상, 고혈압, 모야모야병, 뇌졸중, 만성 중이염, 뇌경색, 급성 중이염, 대상포진, 외상성 경막하 출혈, 길랑-바레 증후군","성형외과, 신경과, 이비인후과","구안와사,안면신경마비,얼굴마비,와사풍"
안면 비대칭(Facial asymmetry),"삐뚤어진 눈, 코, 입, 얼굴 중심선이 안맞음, 부정교합, 광대뼈 위치 이상, 한쪽 입 꼬리의 상승",두개 안면 부조화,"성형외과, 치과","두상비대칭,얼굴비대칭,롬버그병"
안면 홍조증(Hot flush),"불안, 피로감","폐경, 폐경기 및 여성의 갱년기 상태",피부과,
안면인식장애(Prosopagnosia),"인지장애, 시야장애","치매, 양성 뇌종양, 뇌종양, 뇌졸중, 뇌경색, 혈관성 치매, 외상에 의한 뇌 손상, 알츠하이머병, 뇌출혈",신경과,안면실인증
안암(eye cancer),"종양부위 부종, 눈의 충혈","맥락막 흑색종, 망막아세포종, 기저세포 암종, 악성 흑색종","종양내과, 방사선종양학과, 안과, 암병원","눈암,안구암,눈의 악성 종양"
안와 골절(orbital fracture),"얼굴부종, 안구 이상, 감각 이상, 시력 감소, 눈 주변 부종, 복시, 비출혈",안면 골절,"성형외과, 안과",
알레르기 비염(Allergic rhinitis),"후각장애, 재채기, 코막힘, 소양감, 콧물","만성 비염, 상기도 감염, 부비동염, 천식, 아토피성 피부염","이비인후과, 알레르기내과","알러지비염,알러지성 비염,알레르기비염,알레르기성 비염"
알레르기성 결막염(Allergic conjunctivitis),"눈 주변 부종, 환부의 분비물, 눈의 충혈, 소양감","피부염, 아토피성 피부염, 결막염, 알레르기 비염, 천식","안과, 알레르기내과","고초열성 결막염,아토피성 각결막염,알레르기성 결막염,접촉성 안검염,접촉성 안검염에 의한 결막염,춘계 각결막염,플릭텐성 각결막염,알러지성 결막염"
알츠하이머병(Alzheimer's disease),"우울, 기억장애, 시력 감소, 조급증, 방향감각 상실, 실인증, 실행증, 섬망, 판단력장애, 감정 변화, 언어장애","고혈압, 섬망, 비만, 당뇨병, 치매, 혈관성 치매, 다운 증후군 , 고지혈증","신경과, 정신건강의학과","알쯔하이머,알쯔하이머 치매,알쯔하이머성 치매,알쯔하이머형 치매,알츠하이머,알츠하이머 치매,알츠하이머성 치매,알츠하이머형 치매,퇴행성 뇌질환,알쯔하이머병"
알코올 의존성(Dependance of alcohol),"금단증상, 반사회적 인격장애, 불안","알코올성 간질환, 태아 알코올 증후군",정신건강의학과,"알코올 중독,알코올 중독증,알콜 중독,알콜중독증,알콜홀릭"
알코올성 간질환(Alcoholic liver disease),"황달, 기운없음, 무증상, 열, 복부 통증, 오심, 간성뇌증, 피로감, 식욕부진, 위장관 출혈, 구토, 복수","지방간, 자가면역성 간염, 전격성 간염, 독성 간염, 간염, 간성 뇌증",소화기내과,"알콜성 간질환,음주 간질환"
알코올성 치매(Alcohol related dementia),,"알츠하이머병, 베르니케 코시코프 증후군, 외상성 치매 , 간성 뇌증, 혈관성 치매, 알코올성 간질환, 알코올 의존성, 치매","노년내과, 신경과, 응급의학과, 정신건강의학과","알콜성 치매,Alcoholic Dementia"
알포트 증후군(Alports syndrome),"만성 신부전, 단백뇨, 난청, 각막 이상, 혈뇨, 신증후군, 수정체 이상, 망막 이상 ","난청, 혈뇨, 신증후군, 감각신경성 난청, 만성 신부전","신장내과, 어린이병원","Alport Syndrome,유전성 신장염"
압궤 손상(Crushing injury),"손상 부위 출혈, 환부 통증, 환부 부종, 마비","구획 증후군, 횡문근융해증","성형외과, 응급의학과, 정형외과","crush syndrome,traumatic rhabdomyolysis,압좌손상,압좌증후군,압착손상,외상성 횡문근융해,크러쉬증후군,크러시증후군"
야뇨증(Enuresis),"야뇨증, 수면 중 소변을 봄",울혈성 심부전,"비뇨의학과, 소아비뇨의학과",유뇨증
야맹증(Night blindness),야맹,"망막색소변성증, 간디스토마, 설맹",안과,
야토병(Tularemia),"오한, 기침, 열, 근육통, 두통, 권태감","발진티푸스, 패혈증, 라임병, 큐열, 털진드기병",,
약물 발진(Drug Eruption),발진,약물 알레르기,피부과,약진
약물 알레르기(Drug allergy),"설사, 근육통, 림프 부종, 구토, 오심, 열, 두드러기, 발진, 관절통, 아나필락시스","음식 알레르기, 아나필락시스, 알레르기 비염, 두드러기, 천식",알레르기내과,"Medication allergy,약물 알러지"
약시(Amblyopia),시력 감소,"사시, 선천성 눈 기형, 백내장, 망막아세포종, 난시, 근시, 안검하수","안과, 소아안과",약시안
양극성 장애(Bipolar disorder),"사고의 비약, 말을 많이 함, 우울, 망상, 높아진 자존심","기분부전증, 우울증","정신건강의학과, 소아정신건강의학과","조울병,조울증"
양대혈관 우심실 기시증(Double outlet right ventricle),"심부전, 운동 시 호흡곤란, 청색증, 호흡곤란, 무산소 발작, 발육부전, 폐동맥 고혈압","심실 중격 결손, 대혈관 전위, 팔로 사 징후, 폐성 고혈압","소아청소년심장과, 신생아과, 소아심장외과, 선천성심장병센터",
양방단실유입증(Double inlet ventricle),"호흡곤란, 무산소 발작, 심부전, 청색증, 수유 곤란, 발육부전","울혈성 심부전, 선천성 심장 질환","소아청소년심장과, 소아심장외과, 선천성심장병센터",
양성 전립선 비대증(Benign prostatic hyperplasia),"긴박뇨, 야간뇨, 지연뇨, 배뇨곤란, 혈뇨, 빈뇨, 잔뇨감, 배뇨장애, 요로감염","만성 전립선염, 전립선암","가정의학과, 비뇨의학과","전립샘의 증식,전립선비대,전립선비대증"
양성 종격동 종양(Benign mediastinal tumor),"천명음, 무증상, 기침, 가슴 통증, 목소리 변화, 삼키기 곤란 , 호흡곤란","악성 종격동 종양, 림프종",심장혈관흉부외과,"종격동 양성종양,종격동 종양"
양수과다증(Hydramnios),"비정상적인 진통, 소화불량, 호흡곤란","양수색전증, 임신성 고혈압, 조기 양막 파열, 잠재성 이분 척추, 양수과소증, 임신성 당뇨병, 구개열, 조산",산부인과,"Polyhydraminos,과다양수증"
양수과소증(Oligohydramnios),"탯줄의 압박, 태반의 조기 박리, 임신중 배의 크기가 줄어듦, 질식, 양막 유착, 태아 뼈,근육의 기형, 분만 지연",태반 조기 박리,산부인과,"양수부족,양수부족증"
양수색전증(Amniotic fluid embolism),"저산소증, 호흡곤란, 심정지, 출혈 경향성, 저혈압","파종혈관내응고, 폐부종, 폐 혈전색전증",산부인과,양수색전
양안격리증(Hypertelorism),"눈 사이가 멀어보임, 사시, 코의 기형 동반, 시력 감소",두개 안면 부조화,성형외과,"두눈먼거리증,안와이개증,양안과다격리증"
어루러기(Pityriasis versicolor),"갈색 피부 반점, 피부 각질, 하얀 반점, 소양감, 발적, 인설","백반증, 곰팡이 감염, 무좀, 건선, 사타구니 백선, 두부 백선",,"전풍,백선,등무좀"
어린선(Ichthyosis),"피부가 두꺼워짐, 피부소양감, 피부 건조, 피부 각질",피부건조증,피부과,"건피증,비늘선,비늘증,어린증,잔비늘증,비강진,전풍"
얼렌 증후군(Irlen syndrome),"눈의 충혈, 읽으려 하지 않음, 읽기 자체의 문제, 눈의 피로, 광과민성",난독증,,"광과민성증후군,시각적과부하증후군,시지각적스트레스증후군"
에드워드 증후군 (Edwards syndrome),"탈장, 정신 지체, 안면 변형","다운 증후군 , 파타우 증후군","소아청소년종양혈액과, 소아외과, 의학유전학센터, 소아신경과, 의학유전학과, 소아재활의학과",
에볼라 출혈열(Ebola hemorrhagic fever),"근육통, 피로감, 열, 눈의 충혈, 가슴 통증, 점상 출혈, 발진","신증후성 출혈열, 라싸열",감염내과,에볼라 바이러스
에이퍼트 증후군 (Apert syndrome),"눈 사이가 멀어보임, 합지증, 사시, 입술, 입천장의 기형, 정신 지체","저인산증, 연골형성저하증, 연골무형성증, 크루존 증후군, 스티클러 증후군, 파이퍼 증후군 , 골형성부전증","의학유전학센터, 의학유전학과","acrocephalosyndactyly,aperts syndrome,아페르 증후군,첨두합지증"
엔젤만 증후군(Angelman syndrome),"정신 지체, 발육부전, 근긴장의 이상","프라더 윌리 증후군 , 22번 염색체 장완 미세결실 증후군, 18번 염색체 장완결실 증후군 , 4번 염색체 단완결실 증후군, 윌리암스 증후군 , 스미스-마제니스 증후군 , 18번 염색체 단완결실 증후군, 묘성 증후군","의학유전학센터, 소아내분비대사과, 소아신경과, 의학유전학과",
